record_type,fold_id,f1_weighted,auc_pr,roc_auc,recall_positive,notes
fold,1.0,0.8719074424648244,0.8376637588133573,0.9295018549131121,0.6757741347905283,RepeatedStratifiedKFold(5x3)
fold,2.0,0.8733413558248104,0.8391134626903349,0.9335131143856945,0.6612021857923497,RepeatedStratifiedKFold(5x3)
fold,3.0,0.8682786387976352,0.8299835596141805,0.9292197706597567,0.6681859617137648,RepeatedStratifiedKFold(5x3)
fold,4.0,0.8671165658236101,0.8300619524087874,0.9309738147130358,0.6475409836065574,RepeatedStratifiedKFold(5x3)
fold,5.0,0.8666718224594616,0.8153330717802653,0.920003922002169,0.6502732240437158,RepeatedStratifiedKFold(5x3)
fold,6.0,0.8701210446483582,0.8316184986842727,0.9259100494766297,0.6612021857923497,RepeatedStratifiedKFold(5x3)
fold,7.0,0.870815163667329,0.8285522400674226,0.9275323419060897,0.6703096539162113,RepeatedStratifiedKFold(5x3)
fold,8.0,0.8657282814052087,0.8210621096285328,0.9264864881949327,0.658158614402917,RepeatedStratifiedKFold(5x3)
fold,9.0,0.8671474287301313,0.8308677588493616,0.9296669193594239,0.6411657559198543,RepeatedStratifiedKFold(5x3)
fold,10.0,0.8715964845128626,0.83138179112521,0.9301000505385515,0.6666666666666666,RepeatedStratifiedKFold(5x3)
fold,11.0,0.8669640825596826,0.8237505067165172,0.9232658312321163,0.6621129326047359,RepeatedStratifiedKFold(5x3)
fold,12.0,0.8749453095919371,0.8404414430930726,0.9330455047105689,0.668488160291439,RepeatedStratifiedKFold(5x3)
fold,13.0,0.8664772284603892,0.8256347888181775,0.9284749166187525,0.6572470373746582,RepeatedStratifiedKFold(5x3)
fold,14.0,0.8700330359749481,0.8300583414692276,0.9296361224296409,0.6712204007285975,RepeatedStratifiedKFold(5x3)
fold,15.0,0.8710981114266795,0.8263281487068673,0.926177127093928,0.6612021857923497,RepeatedStratifiedKFold(5x3)
summary_mean,,0.8694827997565245,0.8294567621643725,0.9282338552156267,0.6613833388957796,Mean across 15 folds
summary_std,,0.0028036581586338527,0.006656733061187807,0.003528043566094384,0.009487376261005341,Std across 15 folds
